"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"6413841",0,0,2012,"1942","0","2","3","09",0,1,"B",,,,,,1800,1,"B","C","A","ROSCOMARE RD","SARBONNE LN",1056,"N","N","2014-04-01",1942,"2012-01-31",1500,"41324","0806","5","7","0","0","H","0","8A12","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"6348475",-118.208608594,33.873498484,2012,"1900","3","1","4","03",0,1,"A",,,,,,1800,1,"C","C","A","RT 91","SUSANA RD",528,"W","N","2014-02-01",9530,"2012-01-30",1715,"15235",,"2","9","0","1",,"2","310","-","Y","LA",7,91,"-","R",10.71,"H","-","E","Y",2,"A","-",22350,,"N","A","H","-","B","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","UNINCORPORATED","LOS ANGELES","CA",-118.20821,33.87339
"6216712",-118.21056857,33.9253968593,2012,"1943","1","4","4","03",0,4,"A",,,,,,600,1,"C","C","A","RT 105","LONG BEACH BL",150,"W","N","2014-01-18",9530,"2012-01-12",555,"20315",,"3","5","0","1",,"2","210","-","Y",,0,0,,,0,,,,"Y",6,"A","-",22350,,"F","A","H","-","C","D","0","Y","-","99",0,0,4,0,0,0,0,0,0,"-","-","LYNWOOD","LOS ANGELES","CA",-118.21148,33.92575
"6071228",-118.53604044,34.1689133023,2012,"1942","0","5","4","00",0,1,"A",,,,,,300,1,"B","C","A","RESEDA BL","VENTURA BL",45,"E","N","2013-07-19",1942,"2012-01-13",145,"38771","1063","5","7","0","0","J","0","9T53","-","N",,0,0,,,0,,,,"N",2,"D","-",0,,"N","A","H","-","C","A","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"6063954",-118.168332939,34.114790321,2012,"1970","0","4","4","18",0,1,"A",,"Y",,,,1200,1,"H","-","A","ARROYO DR","STONEY DR",444,"S","N","2014-01-28",1970,"2012-01-19",1100,"180","1970","5","4","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",1,"C","-",0,,"N","A","G","-","A","D","0","Y","-","-",0,0,1,0,0,0,1,0,0,"-","-","SOUTH PASADENA","LOS ANGELES","CA",0,0
"6002874",-118.082742278,33.90540497,2012,"1949","0","1","4","09",0,1,"A",,,,,,1800,1,"D","C","A","PIONEER BL","ORANGE ST",0,,"Y","2014-01-22",1900,"2012-01-30",1735,"487835","0453","5","6","0","0",,"0","43T1","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","NORWALK","LOS ANGELES","CA",0,0
"5999551",-118.468965879,34.167946968,2012,"1942","1","3","3","07",0,1,"A",,,,,,1200,1,"B","C","A","RT 405","BURBANK BL",1056,"S","N","2014-01-18",9580,"2012-01-18",905,"20119",,"1","7","0","1",,"2","405","-","Y","LA",7,405,"-","-",40.09,"H","-","S","Y",2,"A","-",21658,"A","F","A","H","-","A","D","1","Y","-","99",0,1,0,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",-118.46871,34.1685
"5980867",-118.280739902,33.98370305,2012,"1942","1","6","3","08",0,2,"A",,,,,,600,1,"A","I","A","RT 110","SLAUSON AV",198,"S","N","2014-01-25",9590,"2012-01-21",505,"20351",,"3","7","0","1",,"2","051","-","Y","LA",7,110,"-","-",17.54,"H","-","S","Y",1,"A","-",22107,,"N","A","H","-","C","D","1","Y","A","01",0,2,0,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5980827",-118.281312134,34.009364883,2012,"1942","1","1","4","03",0,1,"B",,,,,,1800,1,"C","C","A","RT 110","37TH ST",200,"S","N","2014-01-24",9590,"2012-01-23",1546,"17586",,"2","7","0","1",,"2","051","-","Y","LA",7,110,"-","-",19.548,"R","3","S","Y",2,"A","-",22350,,"N","A","H","-","A","A","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",-118.2821,34.01626
"5980823",-118.300854271,34.0851457169,2012,"1942","2","6","2","11",0,1,"A","Y",,,,,2400,1,"G","B","E","RT 101","NORMANDIE AV",150,"N","N","2014-02-11",9590,"2012-01-21",2115,"017867",,"2","7","0","1",,"2","072","-","Y",,0,0,,,0,,,,"Y",2,"A","-",21953,,"N","A","H","-","A","D","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",-118.30077,34.08501
"5949859",-118.291502267,33.9914048714,2012,"1942","0","3","4","09",0,1,"A",,,,,,900,1,"D","C","A","56TH ST","VERMONT AV",0,,"Y","2014-01-25",1942,"2012-01-11",620,"36607","1207","5","7","0","0","L","0","12T41","-","N",,0,0,,,0,,,,"N",3,"A","-",21802,"A","N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5949647",-118.606022271,34.2209248538,2012,"1942","0","7","4","09",0,1,"-",,,,,,1500,1,"-","C","A","TOPANGA CANYON BL","SHOENBORN ST",0,,"Y","2014-04-04",1942,"2012-01-29",1330,"39701","2103","5","7","0","0",,"0","21T63","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","-","-","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5947039",-118.339802328,33.9454448912,2012,"1933","0","7","4","08",0,1,"A",,,,,,300,1,"D","C","A","CENTURY BL","DOTY AV",0,,"Y","2013-06-22",1933,"2012-01-22",221,"965","32","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"F","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947038",-118.558082357,34.4103448962,2012,"1985","0","2","4","12",0,3,"A",,,,,,1800,1,"D","C","A","MCBEAN PKWY","DEL MONTE DR",0,,"Y","2013-06-22",1900,"2012-01-10",1545,"524504","622","5","6","0","0",,"0","62T1","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","-","-",0,0,3,0,0,0,0,0,0,"-","-","SANTA CLARITA","LOS ANGELES","CA",0,0
"5947035",-118.346679884,33.9459931861,2012,"1933","0","7","4","09",0,2,"B",,,,,,1200,1,"D","C","A","FLOWER ST","CENTURY BL",200,"N","N","2013-06-22",1933,"2012-01-22",1014,"913","25","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",21804,"A","N","A","H","-","A","D","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947034",-118.362272246,33.9709349564,2012,"1933","0","4","4","09",0,2,"A",,,,,,900,1,"D","C","A","BEACH AV","HYDE PARK BL",0,,"Y","2013-06-22",1933,"2012-01-05",814,"812","4","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","A","A","0","Y","-","-",0,0,2,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947031",-118.357942247,33.979304904,2012,"1933","0","6","3","12",0,4,"A",,,,,,300,1,"D","C","A","LA BREA AV","FAIRVIEW BL",0,,"Y","2013-06-22",1933,"2012-01-14",111,"974","1","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"A","-",21453,"A","N","A","H","-","C","A","0","Y","A","01",0,1,3,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947030",-118.363762294,33.9527049161,2012,"1933","0","6","3","09",0,1,"A",,,,,,600,1,"D","C","A","ARBOR VITAE ST","CEDAR AV",0,,"Y","2013-06-22",1933,"2012-01-28",412,"939","15","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"A","N","A","H","-","C","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947027",-118.34395854,33.9455745052,2012,"1933","0","6","4","01",0,1,"A",,,,,"Y",1800,1,"B","C","A","PRAIRIE AV","CENTURY BL",40,"N","N","2013-06-22",1933,"2012-01-07",1609,"917","30","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",3,"A","-",23152,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947023",-118.361752452,33.9628551098,2012,"1933","0","4","4","10",0,1,"A","Y",,,,,2100,1,"G","B","B","QUEEN ST","INGLEWOOD AV",6,"E","N","2013-06-22",1933,"2012-01-05",1839,"826","8","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"A","-",21950,"A","F","A","H","-","C","A","0","Y","A","01",0,0,1,0,1,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947022",-118.343264185,33.9309276122,2012,"1933","0","2","3","03",0,1,"A",,,,,,1800,1,"C","E","A","IMPERIAL HWY","PRAIRIE AV",200,"E","N","2013-06-22",1933,"2012-01-31",1639,"686","34","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","B","A","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947019",-118.326576884,33.9291787782,2012,"1933","0","6","4","08",0,1,"A",,,,,,1200,1,"B","C","A","CRENSHAW BL","116TH ST N",140,"N","N","2013-06-22",1933,"2012-01-28",1049,"904","36","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",2,"A","-",22107,,"F","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947015",-118.361362237,33.9454349119,2012,"1933","0","4","4","09",0,1,"A",,,,,,2100,1,"A","C","A","INGLEWOOD AV","CENTURY BL",0,,"Y","2013-06-22",1933,"2012-01-26",1920,"815","24","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947011",-118.361391818,33.9454348375,2012,"1933","0","4","4","09",0,1,"A","Y",,,,,900,1,"G","B","B","CENTURY BL","INGLEWOOD AV",9,"W","N","2013-06-22",1933,"2012-01-12",604,"812","24","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","-","-",0,0,1,0,1,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947007",0,0,2012,"1933","0","3","2","08",0,1,"A","Y",,,,,900,1,"G","B","F","N LA BREA AV","950 N LA BREA AV",0,,"Y","2013-06-22",1933,"2012-01-11",600,"655","5","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"F","A","H","-","B","A","0","Y","-","-",1,0,0,0,1,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5947003",-118.318152193,33.9600349334,2012,"1933","0","4","4","03",0,1,"A",,,,,,900,1,"C","C","A","MANCHESTER BL","BYRD AV",0,,"Y","2013-06-22",1933,"2012-01-19",750,"812","13","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"F","A","H","-","A","A","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946999",-118.352752197,33.9490401535,2012,"1933","0","3","3","10",0,1,"A","Y",,,,,1800,1,"G","B","B","LA BREA AV","HARDY ST",9,"S","N","2013-06-22",1933,"2012-01-25",1543,"868","24","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",0,1,0,0,1,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946996",0,0,2012,"1933","0","5","4","03",0,3,"A",,,,,,2400,1,"A","I","A","CRENSHAW BL","9830 CRENSHAW BL",0,,"Y","2013-06-22",1933,"2012-01-13",2249,"948","32","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,"Y",1,"A","-",22350,,"N","A","H","-","C","A","0","Y","A",,0,0,3,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946995",-118.326563064,33.9382532294,2012,"1933","0","3","4","00",0,1,"A",,,,,,2100,1,"D","C","A","CRENSHAW BL","108TH ST",14,"N","N","2013-06-22",1933,"2012-01-25",1802,"655","36","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",2,"D","-",0,,"N","A","H","-","C","A","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946992",-118.359484843,33.9752359348,2012,"1933","0","6","4","01",0,2,"A",,,,,"Y",2100,1,"B","E","A","N EUCALYPTUS","PLYMOUTH ST",252,"N","N","2013-06-22",1933,"2012-01-14",1901,"959","1","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","N","A","H","-","C","D","0","Y","-","-",0,0,2,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946991",0,0,2012,"1933","0","2","4","03",0,1,"B",,,,,,1200,1,"C","C","A","LA BREA AV","LA PALMA DR",20,"S","N","2013-07-24",1933,"2012-01-31",1123,"812","18","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","A","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946988",-118.326542223,33.9418249475,2012,"1933","0","4","4","12",0,3,"A",,,,,,600,1,"D","D","A","104TH ST","CRENSHAW BL",0,,"Y","2013-06-22",1933,"2012-01-19",313,"850","32","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","F","A","H","-","C","A","0","Y","A","01",0,0,3,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946987",-118.326552297,33.9454749528,2012,"1933","0","1","4","11",0,1,"A","Y",,,,,1800,1,"G","B","B","CRENSHAW BL","CENTURY BL",0,,"Y","2013-06-22",1933,"2012-01-30",1550,"813","I29","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,"N",2,"A","-",21456,"B","N","A","H","-","A","A","0","Y","N",,0,0,1,0,1,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946984",-118.339382293,33.9309149494,2012,"1933","0","1","2","08",0,1,"A",,"Y",,,,1800,1,"D","G","A","DOTY AV","IMPERIAL HWY",0,,"Y","2013-09-11",1933,"2012-01-16",1735,"961","34","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"N","A","H","-","C","A","0","Y","A","01",1,0,0,0,0,0,1,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946983",-118.326572325,33.9319548558,2012,"1933","0","7","4","03",0,1,"A",,,,,,2100,1,"A","I","A","CRENSHAW BL","113TH ST",0,,"Y","2013-06-22",1933,"2012-01-29",2025,"969","35","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",1,"A","-",22350,,"N","A","-","-","C","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946980",-118.326542223,33.9418249475,2012,"1933","0","4","4","09",0,3,"A",,,,,,1800,1,"A","C","A","CRENSHAW BL","104TH ST",0,,"Y","2013-06-22",1933,"2012-01-19",1554,"826","33","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",5,"A","-",21801,"A","N","A","H","-","A","A","0","Y","A","01",0,0,3,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946979",0,0,2012,"1908","0","3","4","09",0,1,"A",,"Y",,,,1800,1,"G","B","A","ARTHURDALE ST","WOODRUFF AV",15,,"N","2013-06-25",1900,"2012-01-04",1521,"488336","1331","5","5","0","0",,"0","133T1","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,1,0,0,"-","-","BELLFLOWER","LOS ANGELES","CA",0,0
"5946976",-118.334912257,33.9328948569,2012,"1933","0","5","4","12",0,1,"A",,"Y",,,,2100,1,"D","G","A","YUKON AV","112TH ST",0,,"Y","2013-06-22",1933,"2012-01-13",1910,"868","35","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",22450,,"N","A","H","-","C","A","0","Y","L","04",0,0,1,0,0,0,1,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946972",0,0,2012,"1933","0","5","3","17",0,1,"A",,"Y",,,,1800,1,"D","G","A","OSAGE AV","ARBOR VITAE ST E",9,"S","N","2013-06-22",1933,"2012-01-13",1511,"286","18","5","6","0","0",,"0","002","-","N",,0,0,,,0,,,,"N",2,"A","-",21663,,"N","A","H","-","A","A","0","Y","L","04",0,1,0,0,0,0,1,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946968",-118.343942287,33.9377149101,2012,"1933","0","3","4","09",0,1,"A",,,,,,900,1,"A","C","A","PRAIRIE AV","108TH ST",0,,"Y","2013-06-22",1933,"2012-01-11",850,"670","30","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",21801,"A","N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946964",-118.368702292,33.964174866,2012,"1933","0","6","4","08",0,1,"A",,,,,,900,1,"B","C","A","HYDE PARK BL","FLORENCE AV",0,,"Y","2013-06-22",1933,"2012-01-07",725,"961","8","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",22107,,"F","A","H","-","A","D","0","Y","A",,0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5946553",-118.0540121,34.072314902,2012,"1906","1","1","4","03",0,2,"A",,,,,,1500,1,"C","C","A","RT 10","BALDWIN PARK BL",500,"W","N","2014-01-24",9525,"2012-01-30",1245,"15980",,"1","5","0","1",,"2","104","-","Y","LA",7,10,"-","-",27.87,"H","-","E","Y",3,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","BALDWIN PARK","LOS ANGELES","CA",-117.98523,34.06696
"5946482",-117.911677986,34.0093977585,2012,"1900","5","5","3","01",0,2,"A","Y",,,,"Y",1800,1,"E","I","F","DOVERDALE AV","HURLEY ST",78,"N","N","2014-01-24",9525,"2012-01-13",1625,"19491",,"2","9","0","3",,"2","003","-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","N","A","H","-","A","D","0","Y","A","01",0,1,1,0,1,0,0,0,0,"-","-","UNINCORPORATED","LOS ANGELES","CA",-117.91151,34.00994
"5927466",-118.527352327,34.208394967,2012,"1942","0","1","4","04",0,2,"A",,,,,,1500,1,"C","C","A","LINDLEY AV","SATICOY ST",0,,"Y","2013-07-09",1942,"2012-01-30",1415,"36618","1015","5","7","0","0","J","0","9TL52","-","N",,0,0,,,0,,,,"N",2,"A","-",21703,,"N","A","H","-","A","A","0","Y","A","01",0,0,2,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5922067",-118.280568035,33.962435047,2012,"1942","1","3","4","03",0,1,"A",,,,,,1200,1,"C","C","A","RT 110","MANCHESTER AV",100,"N","N","2013-09-18",9590,"2012-01-18",1055,"18564",,"1","7","0","1",,"2","050","-","Y","LA",7,110,"-","-",16.02,"H","-","N","Y",2,"A","-",22350,,"N","A","H","-","A","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",-118.28042,33.96124
"5921494",-118.179622273,33.765904888,2012,"1941","0","4","4","10",0,1,"A",,"Y",,,,1800,1,"H","G","A","OCEAN","3RD PL",0,,"Y","2013-07-08",1941,"2012-01-05",1533,"10049",,"5","7","0","0",,"0",,"-","N",,0,0,,,0,,,,"N",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A",,0,0,1,0,0,0,1,0,0,"-","-","LONG BEACH","LOS ANGELES","CA",0,0
"5921490",-118.150442225,34.1405749547,2012,"1953","0","7","4","09",0,1,"A",,,"Y",,,2100,1,"A","C","A","EAST DEL MAR BL","SOUTH FAIR OAKS AV",0,,"Y","2013-07-08",1953,"2012-01-08",1843,"5910","1953","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",2,"A","-",21801,"A","N","A","H","-","C","A","0","Y","A","07",0,0,1,0,0,0,0,0,1,"-","-","PASADENA","LOS ANGELES","CA",0,0
"5893386",-118.34392232,33.9309348507,2012,"1933","0","2","4","12",0,1,"A",,,,"Y",,2400,1,"B","C","A","IMPERIAL HWY","PRAIRIE AV",0,,"Y","2014-01-18",1933,"2012-01-17",2240,"874","34","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",3,"A","-",21453,"A","N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5893378",-118.371888407,33.9628542867,2012,"1933","0","4","4","08",0,1,"A",,,"Y",,,1800,1,"A","C","A","GLASGOW AV","FLORENCE AV",18,"S","N","2014-01-18",1933,"2012-01-12",1542,"826","08","5","6","0","0",,"0","001","-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"N","A","H","-","A","A","0","Y","D","22",0,0,1,0,0,0,0,0,1,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5893370",-118.326552192,33.9449893862,2012,"1933","0","5","2","11",0,1,"A","Y",,,,"Y",1500,1,"G","B","E","CRENSHAW BL","CENTURY BL",177,"S","N","2014-01-18",1933,"2012-01-06",1245,"882","32","5","6","0","0",,"0","004","-","N",,0,0,,,0,,,,"N",2,"A","-",21956,"A","N","A","H","-","A","A","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5893366",0,0,2012,"1933","0","3","4","08",0,1,"A",,,,,,1500,1,"D","C","A","CENTURY BL","VILLAGE DR",236,"E","N","2014-01-18",1933,"2012-01-25",1451,"655","29","5","6","0","0",,"0","003","-","N",,0,0,,,0,,,,"N",2,"A","-",22107,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","INGLEWOOD","LOS ANGELES","CA",0,0
"5891698",-118.370052325,33.8873048505,2012,"1956","0","5","3","01",0,1,"A",,,,,"Y",2400,1,"C","C","A","MANHATTAN BEACH BL","VAIL AV",0,,"Y","2014-01-17",1956,"2012-01-13",2252,"1272","66","5","5","0","0",,"0","004","-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","F","A","H","-","C","A","0","Y","D","22",0,1,0,0,0,0,0,0,0,"-","-","REDONDO BEACH","LOS ANGELES","CA",0,0
"5862043",-118.083992236,33.9171448652,2012,"1949","0","1","3","03",0,1,"B",,,,,,1800,1,"C","C","A","IMPERIAL HWY","WOODS AV",0,,"Y","2014-01-09",1900,"2012-01-30",1700,"43680","0453","5","6","0","0",,"0","45T1","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","B","H","-","C","A","0","Y","A","07",0,1,0,0,0,0,0,0,0,"-","-","NORWALK","LOS ANGELES","CA",0,0
"5841953",-118.309162308,33.8885148806,2012,"1924","0","7","4","01",0,1,"A",,,,,,1800,1,"H","I","A","REDONDO BEACH BL","WESTERN AV",0,,"Y","2013-08-20",1924,"2012-01-29",1726,"105094","32","5","5","0","0",,"0","8A8D","-","N",,0,0,,,0,,,,"Y",3,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","08",0,0,1,0,0,0,0,0,0,"-","-","GARDENA","LOS ANGELES","CA",0,0
"5814932",-118.362091159,34.0255819369,2012,"1942","0","5","4","04",0,1,"B",,,,,,1800,1,"C","C","A","JEFFERSON BL","COCHRAN",271,"W","N","2013-03-13",1942,"2012-01-06",1605,"38591","0312","5","7","0","0","C","0","3T57","-","N",,0,0,,,0,,,,"Y",2,"A","-",21703,,"N","A","H","-","A","D","0","Y","J","48",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5814833",-118.37500972,34.0328198551,2012,"1918","0","6","4","18",0,1,"A",,,,,,2400,1,"B","E","A","LA CIENEGA BL","WASHINGTON BL",190,"N","N","2013-03-04",1918,"2012-01-21",2220,"39507","9999","5","4","0","0",,"0","6T7","-","N",,0,0,,,0,,,,"Y",3,"C","-",0,,"M","A","H","-","C","D","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","CULVER CITY","LOS ANGELES","CA",0,0
"5814768",-118.262192134,34.050714888,2012,"1942","1","1","4","03",0,1,"A",,,,,,1800,1,"C","C","A","RT 110","7TH ST",300,"N","N","2013-09-17",9590,"2012-01-09",1635,"17520",,"2","7","0","1",,"2","053","-","Y","LA",7,110,"-","-",22.62,"H","-","S","N",2,"A","-",22350,,"N","A","H","-","A","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",-118.26314,34.04616
"5804377",-118.343882269,33.9019048661,2012,"1928","0","6","4","01",0,3,"A",,,,,"Y",1800,1,"D","C","A","ROSECRANS AV","PRAIRIE AV",0,,"Y","2013-08-26",1928,"2012-01-21",1515,"00001",,"5","5","0","0",,"0",,"-","N",,0,0,,,0,,,,"Y",2,"A","-",23152,"A","N","A","H","-","A","A","0","Y","A","01",0,0,3,0,0,0,0,0,0,"-","-","HAWTHORNE","LOS ANGELES","CA",-118.34379,33.90187
"5778245",-118.326403365,33.901921252,2012,"1924","0","5","4","04",0,1,"A",,,,"Y",,1500,1,"C","C","A","ROSECRANS AV","CRENSHAW BL",24,"E","N","2013-06-08",1924,"2012-01-13",1428,"111229","20","5","5","0","0",,"0","8M1","-","N",,0,0,,,0,,,,"N",2,"A","-",21703,,"N","A","H","-","A","A","0","Y","F","26",0,0,1,0,0,0,0,0,0,"-","-","GARDENA","LOS ANGELES","CA",0,0
