"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5496598",-118.448798447,34.2194120124,2012,"1942","0","4","4","03",0,3,"A",,,,,,2100,1,"C","C","A","VAN NUYS BL","TITUS ST",125,"S","N","2013-06-17",1942,"2012-01-26",1805,"39201","1994","5","7","0","0",,"0","10TL32","-","N",,0,0,,,0,,,,"N",4,"A","-",22350,,"N","A","H","-","A","A","0","Y","A","07",0,0,3,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496593",-118.406774653,34.1648789038,2012,"1942","0","2","3","03",0,1,"A",,,,,"Y",1500,1,"C","C","A","MAGNOLIA BL","BABCOCK AV",125,"W","N","2013-06-17",1942,"2012-01-31",1220,"30830","1541","5","7","0","0","O","0","16TL23","-","N",,0,0,,,0,,,,"Y",3,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496590",-118.413431747,34.2216448659,2012,"1942","0","7","4","03",0,1,"A",,,,,,1800,1,"C","C","A","ROSCOE BL","COLDWATER CANYON BL",300,"E","N","2013-06-17",1942,"2012-01-29",1750,"38850","1989","5","7","0","0",,"0","10TL36","-","N",,0,0,,,0,,,,"Y",3,"A","-",22350,,"N","A","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496589",-118.369232251,34.1866848696,2012,"1942","0","5","3","09",0,1,"A",,"Y",,,,1800,1,"B","G","A","VICTORY BL","CRANER AV",0,,"Y","2013-06-17",1942,"2012-01-27",1615,"25194","1519","5","7","0","0","O","0","15A67","-","N",,0,0,,,0,,,,"N",2,"A","-",21804,"A","N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,1,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496582",0,0,2012,"1942","0","4","4","04",0,1,"A",,,,,,1500,1,"C","C","A","WILBUR AV","OXNARD ST",75,"E","N","2013-06-17",1942,"2012-01-19",1305,"39201","1041","5","7","0","0","J","0","10TL32","-","N",,0,0,,,0,,,,"N",2,"A","-",21703,,"N","A","H","-","A","A","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496581",-118.472112243,34.2184949267,2012,"1942","0","7","3","03",0,1,"A",,"Y",,,"Y",2100,1,"D","G","A","LAMARK ST","ORION AV",0,,"Y","2013-06-17",1942,"2012-01-29",1830,"39975","1991","5","7","0","0",,"0","9TL54","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"F","A","H","-","D","A","0","Y","-","99",0,1,0,0,0,0,1,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496578",-118.527292317,34.1654448971,2012,"1942","0","5","3","03",0,1,"A",,,,,,900,1,"B","C","A","VENTURA BL","LINDLEY AV",0,,"Y","2013-06-19",1942,"2012-01-27",840,"40408","1065","5","7","0","0","J","0","10A21","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496574",-118.537237951,34.2206929472,2012,"1942","0","1","4","08",0,1,"A",,,,,,1200,1,"C","C","A","ROSCOE BL","RESEDA BL",350,"W","N","2013-06-17",1942,"2012-01-30",1025,"38261","1003","5","7","0","0","J","0","35EL12","-","N",,0,0,,,0,,,,"N",2,"A","-",22102,,"N","A","H","-","A","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496570",-118.503442748,34.1866107517,2012,"1942","0","1","4","03",0,1,"B",,,,,,1800,1,"C","C","A","VICTORY","BALBOA BL",700,"W","N","2013-06-17",1942,"2012-01-30",1600,"32690","1037","5","7","0","0","J","0","]10TL3","-","N",,0,0,,,0,,,,"N",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","07",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
"5496566",-118.536072249,34.2117991207,2012,"1942","0","1","4","03",0,1,"A",,,,,,1500,1,"C","C","A","RESEDA BL","INGOMAR ST",75,"S","N","2013-06-17",1942,"2012-01-30",1450,"38326","1003","5","7","0","0","J","0","19TL76","-","N",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","LOS ANGELES","LOS ANGELES","CA",0,0
